awardYear,category,name,gender,birth_date,affiliation_1,birth_cityNow,birth_countryNow,motivation,award_link,laureate_link,age,affiliation_country,affiliation_zone,birth_zone,affiliation_lat,affiliation_lon,affiliation_zone_lat,affiliation_zone_lon,birth_lat,birth_lon,birth_zone_lat,birth_zone_lon
1902,Peace,Élie Ducommun,male,1833-02-19,,Geneva,Switzerland,for his untiring and skilful directorship of the Bern Peace Bureau,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,http://masterdataapi.nobelprize.org/2/laureate/464,69,,,Europe,0.0,0.0,0.0,0.0,47.0,8.43,48.55,5.72
1902,Chemistry,Emil Fischer,male,1852-10-09,"Berlin University, Berlin, Germany",Euskirchen,Germany,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1902,http://masterdataapi.nobelprize.org/2/laureate/161,50,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1903,Peace,Randal Cremer,male,1828-03-18,,Fareham,United Kingdom,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1903,http://masterdataapi.nobelprize.org/2/laureate/466,75,,,Europe,0.0,0.0,0.0,0.0,52.94,-1.23,48.55,5.72
1903,Physics,Pierre Curie,male,1859-05-15,"École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry), Paris, France",Paris,France,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1903,http://masterdataapi.nobelprize.org/2/laureate/5,44,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1903,Physics,Henri Becquerel,male,1852-12-15,"École Polytechnique, Paris, France",Paris,France,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1903,http://masterdataapi.nobelprize.org/2/laureate/4,51,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1903,Chemistry,Svante Arrhenius,male,1859-02-19,"Stockholm University, Stockholm, Sweden",Vik,Sweden,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1903,http://masterdataapi.nobelprize.org/2/laureate/162,44,Sweden,Europe,Europe,60.8,15.21,48.55,5.72,60.8,15.21,48.55,5.72
1903,Literature,Bjørnstjerne Bjørnson,male,1832-12-08,,Kvikne,Norway,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1903,http://masterdataapi.nobelprize.org/2/laureate/572,71,,,Europe,0.0,0.0,0.0,0.0,61.19,8.66,48.55,5.72
1903,Medicine,Niels Ryberg Finsen,male,1860-12-15,"Finsen Medical Light Institute, Copenhagen, Denmark",Thorshavn,Faroe Islands (Denmark),"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1903,http://masterdataapi.nobelprize.org/2/laureate/295,43,Denmark,Europe,Faroe Islands (Denmark),56.31,9.69,48.55,5.72,0.0,0.0,0.0,0.0
1903,Physics,Marie Curie,female,1867-11-07,,Warsaw,Poland,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1903,http://masterdataapi.nobelprize.org/2/laureate/6,36,,,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,Physics,Lord Rayleigh,male,1842-11-12,"Royal Institution of Great Britain, London, United Kingdom","Langford Grove, Maldon, Essex",United Kingdom,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1904,http://masterdataapi.nobelprize.org/2/laureate/8,62,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1904,Literature,Frédéric Mistral,male,1830-09-08,,Maillane,France,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1904,http://masterdataapi.nobelprize.org/2/laureate/573,74,,,Europe,0.0,0.0,0.0,0.0,46.97,2.7,48.55,5.72
1904,Literature,José Echegaray,male,1832-04-19,,Madrid,Spain,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1904,http://masterdataapi.nobelprize.org/2/laureate/574,72,,,Europe,0.0,0.0,0.0,0.0,40.37,-3.14,48.55,5.72
1904,Chemistry,Sir William Ramsay,male,1852-10-02,"University College, London, United Kingdom",Glasgow,Scotland,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1904,http://masterdataapi.nobelprize.org/2/laureate/163,52,United Kingdom,Europe,Scotland,52.94,-1.23,48.55,5.72,0.0,0.0,0.0,0.0
1904,Medicine,Ivan Pavlov,male,1849-09-14,"Military Medical Academy, St. Petersburg, Russia",Ryazan,Russia,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1904,http://masterdataapi.nobelprize.org/2/laureate/296,55,Russia,Russia,Russia,61.1,81.38,61.1,81.38,61.1,81.38,61.1,81.38
1905,Medicine,Robert Koch,male,1843-12-11,"Institute for Infectious Diseases, Berlin, Germany",Clausthal-Zellerfeld,Germany,for his investigations and discoveries in relation to tuberculosis,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1905,http://masterdataapi.nobelprize.org/2/laureate/297,62,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1905,Literature,Henryk Sienkiewicz,male,1846-05-05,,Wola Okrzejska,Poland,because of his outstanding merits as an epic writer,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1905,http://masterdataapi.nobelprize.org/2/laureate/575,59,,,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,Chemistry,Adolf von Baeyer,male,1835-10-31,"Munich University, Munich, Germany",Berlin,Germany,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1905,http://masterdataapi.nobelprize.org/2/laureate/164,70,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1905,Physics,Philipp Lenard,male,1862-06-07,"Kiel University, Kiel, Germany",Bratislava,Slovakia,for his work on cathode rays,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1905,http://masterdataapi.nobelprize.org/2/laureate/9,43,Germany,Europe,Slovakia,51.42,10.6,48.55,5.72,0.0,0.0,0.0,0.0
1905,Peace,Bertha von Suttner,female,1843-06-09,,Prague,Czech Republic,for her audacity to oppose the horrors of war,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1905,http://masterdataapi.nobelprize.org/2/laureate/468,62,,,Europe,0.0,0.0,0.0,0.0,49.9,15.61,48.55,5.72
1906,Literature,Giosuè Carducci,male,1835-07-27,,Val di Castello,Italy,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1906,http://masterdataapi.nobelprize.org/2/laureate/576,71,,,Europe,0.0,0.0,0.0,0.0,42.41,12.74,48.55,5.72
1906,Chemistry,Henri Moissan,male,1852-09-28,"Sorbonne University, Paris, France",Paris,France,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1906,http://masterdataapi.nobelprize.org/2/laureate/165,54,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1906,Peace,Theodore Roosevelt,male,1858-10-27,,"New York, NY",USA,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1906,http://masterdataapi.nobelprize.org/2/laureate/470,48,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1906,Medicine,Santiago Ramón y Cajal,male,1852-05-01,"Madrid University, Madrid, Spain",Petilla de Aragón,Spain,in recognition of their work on the structure of the nervous system,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1906,http://masterdataapi.nobelprize.org/2/laureate/299,54,Spain,Europe,Europe,40.37,-3.14,48.55,5.72,40.37,-3.14,48.55,5.72
1906,Medicine,Camillo Golgi,male,1843-07-07,"Pavia University, Pavia, Italy",Corteno,Italy,in recognition of their work on the structure of the nervous system,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1906,http://masterdataapi.nobelprize.org/2/laureate/298,63,Italy,Europe,Europe,42.41,12.74,48.55,5.72,42.41,12.74,48.55,5.72
1906,Physics,J.J. Thomson,male,1856-12-18,"University of Cambridge, Cambridge, United Kingdom",Cheetham Hill,United Kingdom,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1906,http://masterdataapi.nobelprize.org/2/laureate/10,50,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,52.94,-1.23,48.55,5.72
1907,Peace,Ernesto Teodoro Moneta,male,1833-09-20,,Milan,Italy,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1907,http://masterdataapi.nobelprize.org/2/laureate/471,74,,,Europe,0.0,0.0,0.0,0.0,42.41,12.74,48.55,5.72
1907,Physics,Albert A. Michelson,male,1852-12-19,"University of Chicago, Chicago, IL, USA",Strzelno,Poland,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1907,http://masterdataapi.nobelprize.org/2/laureate/11,55,USA,North America,Poland,38.51,-100.3,38.51,-100.3,0.0,0.0,0.0,0.0
1907,Peace,Louis Renault,male,1843-05-21,"Sorbonne University, Paris, France",Autun,France,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1907,http://masterdataapi.nobelprize.org/2/laureate/472,64,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1907,Literature,Rudyard Kipling,male,1865-12-30,,Bombay,India,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1907,http://masterdataapi.nobelprize.org/2/laureate/577,42,,,India,0.0,0.0,0.0,0.0,20.6,78.66,20.6,78.66
1907,Chemistry,Eduard Buchner,male,1860-05-20,"Landwirtschaftliche Hochschule (Agricultural College), Berlin, Germany",Munich,Germany,for his biochemical researches and his discovery of cell-free fermentation,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1907,http://masterdataapi.nobelprize.org/2/laureate/166,47,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1907,Medicine,Alphonse Laveran,male,1845-06-18,"Institut Pasteur, Paris, France",Paris,France,in recognition of his work on the role played by protozoa in causing diseases,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1907,http://masterdataapi.nobelprize.org/2/laureate/300,62,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1908,Chemistry,Ernest Rutherford,male,1871-08-30,"Victoria University, Manchester, United Kingdom",Nelson,New Zealand,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1908,http://masterdataapi.nobelprize.org/2/laureate/167,37,United Kingdom,Europe,New Zealand,52.94,-1.23,48.55,5.72,0.0,0.0,0.0,0.0
1908,Peace,Fredrik Bajer,male,1837-04-21,,Næstved,Denmark,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1908,http://masterdataapi.nobelprize.org/2/laureate/474,71,,,Europe,0.0,0.0,0.0,0.0,56.31,9.69,48.55,5.72
1908,Medicine,Ilya Mechnikov,male,1845-05-15,"Institut Pasteur, Paris, France",Kharkiv,Ukraine,in recognition of their work on immunity,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1908,http://masterdataapi.nobelprize.org/2/laureate/301,63,France,Europe,Ukraine,46.97,2.7,48.55,5.72,0.0,0.0,0.0,0.0
1908,Medicine,Paul Ehrlich,male,1854-03-14,"Goettingen University, Göttingen, Germany",Strzelin,Poland,in recognition of their work on immunity,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1908,http://masterdataapi.nobelprize.org/2/laureate/302,54,Germany,Europe,Poland,51.42,10.6,48.55,5.72,0.0,0.0,0.0,0.0
1908,Literature,Rudolf Eucken,male,1846-01-05,,Aurich,Germany,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1908,http://masterdataapi.nobelprize.org/2/laureate/578,62,,,Europe,0.0,0.0,0.0,0.0,51.42,10.6,48.55,5.72
1908,Physics,Gabriel Lippmann,male,1845-08-16,"Sorbonne University, Paris, France",Hollerich,Luxembourg,for his method of reproducing colours photographically based on the phenomenon of interference,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1908,http://masterdataapi.nobelprize.org/2/laureate/12,63,France,Europe,Luxembourg,46.97,2.7,48.55,5.72,0.0,0.0,0.0,0.0
1908,Peace,Klas Pontus Arnoldson,male,1844-10-27,,Gothenburg,Sweden,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1908,http://masterdataapi.nobelprize.org/2/laureate/473,64,,,Europe,0.0,0.0,0.0,0.0,60.8,15.21,48.55,5.72
1909,Medicine,Theodor Kocher,male,1841-08-25,"Berne University, Bern, Switzerland",Bern,Switzerland,"for his work on the physiology, pathology and surgery of the thyroid gland",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1909,http://masterdataapi.nobelprize.org/2/laureate/303,68,Switzerland,Europe,Europe,47.0,8.43,48.55,5.72,47.0,8.43,48.55,5.72
1909,Peace,Paul Henri d'Estournelles de Constant,male,1852-11-22,,La Flèche,France,for their prominent position in the international movement for peace and arbitration,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1909,http://masterdataapi.nobelprize.org/2/laureate/476,57,,,Europe,0.0,0.0,0.0,0.0,46.97,2.7,48.55,5.72
1909,Chemistry,Wilhelm Ostwald,male,1853-09-02,"Leipzig University, Leipzig, Germany",Riga,Latvia,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1909,http://masterdataapi.nobelprize.org/2/laureate/168,56,Germany,Europe,Latvia,51.42,10.6,48.55,5.72,0.0,0.0,0.0,0.0
1909,Peace,Auguste Beernaert,male,1829-07-26,,Ostend,Belgium,for their prominent position in the international movement for peace and arbitration,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1909,http://masterdataapi.nobelprize.org/2/laureate/475,80,,,Europe,0.0,0.0,0.0,0.0,50.67,4.86,48.55,5.72
1909,Physics,Ferdinand Braun,male,1850-06-06,"Strasbourg University, Strasbourg, Germany (now France)",Fulda,Germany,in recognition of their contributions to the development of wireless telegraphy,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1909,http://masterdataapi.nobelprize.org/2/laureate/14,59,France,Europe,Europe,46.97,2.7,48.55,5.72,51.42,10.6,48.55,5.72
1909,Physics,Guglielmo Marconi,male,1874-04-25,"Marconi Wireless Telegraph Co. Ltd., London, United Kingdom",Bologna,Italy,in recognition of their contributions to the development of wireless telegraphy,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1909,http://masterdataapi.nobelprize.org/2/laureate/13,35,United Kingdom,Europe,Europe,52.94,-1.23,48.55,5.72,42.41,12.74,48.55,5.72
1909,Literature,Selma Lagerlöf,female,1858-11-20,,Mårbacka,Sweden,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1909,http://masterdataapi.nobelprize.org/2/laureate/579,51,,,Europe,0.0,0.0,0.0,0.0,60.8,15.21,48.55,5.72
1910,Physics,Johannes Diderik van der Waals,male,1837-11-23,"Amsterdam University, Amsterdam, the Netherlands",Leiden,the Netherlands,for his work on the equation of state for gases and liquids,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1910,http://masterdataapi.nobelprize.org/2/laureate/15,73,the Netherlands,Europe,Europe,52.52,5.74,48.55,5.72,52.52,5.74,48.55,5.72
1910,Chemistry,Otto Wallach,male,1847-03-27,"Goettingen University, Göttingen, Germany",Kaliningrad,Russia,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1910,http://masterdataapi.nobelprize.org/2/laureate/169,63,Germany,Europe,Russia,51.42,10.6,48.55,5.72,61.1,81.38,61.1,81.38
1910,Medicine,Albrecht Kossel,male,1853-09-16,"University of Heidelberg, Heidelberg, Germany",Rostock,Germany,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",https://masterdataapi.nobelprize.org/2/nobelPrize/med/1910,http://masterdataapi.nobelprize.org/2/laureate/304,57,Germany,Europe,Europe,51.42,10.6,48.55,5.72,51.42,10.6,48.55,5.72
1910,Literature,Paul Heyse,male,1830-03-15,,Berlin,Germany,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1910,http://masterdataapi.nobelprize.org/2/laureate/580,80,,,Europe,0.0,0.0,0.0,0.0,51.42,10.6,48.55,5.72
1911,Peace,Tobias Asser,male,1838-04-28,,Amsterdam,the Netherlands,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1911,http://masterdataapi.nobelprize.org/2/laureate/478,73,,,Europe,0.0,0.0,0.0,0.0,52.52,5.74,48.55,5.72
1911,Physics,Wilhelm Wien,male,1864-01-13,"Würzburg University, Würzburg, Germany",Parusnoye,Russia,for his discoveries regarding the laws governing the radiation of heat,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1911,http://masterdataapi.nobelprize.org/2/laureate/16,47,Germany,Europe,Russia,51.42,10.6,48.55,5.72,61.1,81.38,61.1,81.38
1911,Literature,Maurice Maeterlinck,male,1862-08-29,,Ghent,Belgium,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1911,http://masterdataapi.nobelprize.org/2/laureate/581,49,,,Europe,0.0,0.0,0.0,0.0,50.67,4.86,48.55,5.72
1911,Chemistry,Marie Curie,female,1867-11-07,"Sorbonne University, Paris, France",Warsaw,Poland,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1911,http://masterdataapi.nobelprize.org/2/laureate/6,44,France,Europe,Poland,46.97,2.7,48.55,5.72,0.0,0.0,0.0,0.0
1911,Peace,Alfred Fried,male,1864-11-11,,Vienna,Austria,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1911,http://masterdataapi.nobelprize.org/2/laureate/479,47,,,Europe,0.0,0.0,0.0,0.0,47.35,14.47,48.55,5.72
1911,Medicine,Allvar Gullstrand,male,1862-06-05,"Uppsala University, Uppsala, Sweden",Landskrona,Sweden,for his work on the dioptrics of the eye,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1911,http://masterdataapi.nobelprize.org/2/laureate/305,49,Sweden,Europe,Europe,60.8,15.21,48.55,5.72,60.8,15.21,48.55,5.72
1912,Chemistry,Victor Grignard,male,1871-05-06,"Nancy University, Nancy, France",Cherbourg,France,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",https://masterdataapi.nobelprize.org/2/nobelPrize/che/1912,http://masterdataapi.nobelprize.org/2/laureate/172,41,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
1912,Physics,Gustaf Dalén,male,1869-11-30,"Swedish Gas-Accumulator Co., Lidingö, Stockholm, Sweden",Stenstorp,Sweden,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1912,http://masterdataapi.nobelprize.org/2/laureate/17,43,Sweden,Europe,Europe,60.8,15.21,48.55,5.72,60.8,15.21,48.55,5.72
1912,Literature,Gerhart Hauptmann,male,1862-11-15,,Bad Salzbrunn,Poland,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1912,http://masterdataapi.nobelprize.org/2/laureate/582,50,,,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,Peace,Elihu Root,male,1845-02-15,,"Clinton, NY",USA,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1912,http://masterdataapi.nobelprize.org/2/laureate/480,67,,,North America,0.0,0.0,0.0,0.0,38.51,-100.3,38.51,-100.3
1912,Medicine,Alexis Carrel,male,1873-06-28,"Rockefeller Institute for Medical Research, New York, NY, USA",Sainte-Foy-lès-Lyon,France,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1912,http://masterdataapi.nobelprize.org/2/laureate/306,39,USA,North America,Europe,38.51,-100.3,38.51,-100.3,46.97,2.7,48.55,5.72
1912,Chemistry,Paul Sabatier,male,1854-11-05,"Toulouse University, Toulouse, France",Carcassonne,France,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1912,http://masterdataapi.nobelprize.org/2/laureate/173,58,France,Europe,Europe,46.97,2.7,48.55,5.72,46.97,2.7,48.55,5.72
